12, 36, 40, 29, 2, 12, 2, 61, 0, 1
1, 76, 73, 21, 2, 75, 77, 0, 0, 1
54, 76, 12, 22, 2, 87, 101, 2, 0, 1
1, 2, 17, 25, 12, 2, 0, 0, 0, 1
1, 2, 130, 17, 25, 131, 19, 8, 34, 1
138, 36, 1, 24, 2, 85, 0, 0, 0, 1
14, 2, 142, 143, 2, 58, 2, 0, 0, 1
14, 28, 1, 2, 2, 1, 2, 131, 19, 1
2, 92, 0, 2, 1, 2, 78, 0, 0, 1
8, 7, 159, 2, 2, 2, 1, 0, 0, 1
2, 36, 1, 2, 58, 51, 0, 0, 0, 1
26, 2, 2, 164, 2, 2, 1, 0, 0, 1
2, 7, 145, 17, 4, 2, 2, 41, 0, 1
2, 80, 2, 52, 1, 24, 0, 0, 0, 1
1, 2, 8, 173, 2, 0, 0, 0, 0, 1
12, 7, 2, 66, 2, 2, 2, 2, 2, 1
12, 2, 2, 12, 22, 178, 2, 1, 0, 1
8, 199, 2, 1, 10, 1, 0, 0, 0, 1
2, 36, 23, 203, 2, 1, 24, 0, 0, 1
1, 7, 2, 75, 2, 8, 0, 75, 2, 1
26, 36, 2, 8, 111, 2, 0, 0, 0, 1
223, 36, 224, 31, 2, 90, 1, 225, 0, 1
2, 31, 2, 67, 2, 144, 1, 24, 0, 1
2, 2, 2, 2, 8, 2, 19, 229, 0, 1
2, 7, 2, 2, 2, 2, 75, 0, 0, 1
106, 36, 2, 8, 2, 2, 58, 2, 0, 1
219, 36, 4, 64, 1, 2, 2, 2, 0, 1
26, 49, 2, 25, 1, 72, 0, 0, 0, 1
246, 76, 2, 23, 2, 231, 2, 167, 0, 1
2, 7, 49, 1, 23, 242, 1, 0, 0, 1
2, 7, 2, 23, 2, 227, 2, 2, 60, 1
2, 33, 12, 51, 11, 21, 1, 2, 2, 1
2, 7, 2, 1, 2, 2, 0, 0, 0, 1
171, 2, 2, 144, 1, 17, 0, 213, 0, 1
1, 150, 8, 106, 2, 72, 24, 0, 0, 1
2, 2, 2, 2, 2, 2, 2, 75, 0, 1
2, 33, 60, 2, 44, 2, 2, 96, 0, 1
2, 2, 258, 2, 2, 2, 2, 27, 0, 1
2, 36, 2, 2, 54, 2, 27, 0, 0, 1
2, 7, 2, 44, 44, 2, 27, 0, 0, 1
78, 2, 239, 2, 8, 2, 0, 0, 0, 1
35, 28, 4, 221, 20, 49, 0, 0, 0, 1
2, 2, 2, 68, 192, 8, 1, 1, 0, 1
2, 33, 75, 2, 2, 2, 61, 0, 0, 1
75, 36, 2, 44, 7, 2, 96, 2, 0, 1
12, 8, 2, 40, 75, 2, 0, 0, 0, 1
1, 2, 109, 178, 2, 2, 9, 0, 0, 1
2, 2, 36, 2, 2, 7, 2, 150, 2, 1
35, 150, 2, 2, 63, 2, 1, 0, 0, 1
2, 36, 2, 9, 122, 2, 0, 0, 0, 1
2, 80, 2, 7, 258, 2, 0, 0, 0, 1
21, 36, 2, 2, 16, 2, 27, 0, 0, 1
77, 2, 32, 12, 2, 280, 2, 0, 0, 1
26, 2, 2, 1, 2, 2, 2, 0, 0, 1
198, 7, 221, 151, 2, 2, 0, 0, 0, 1
19, 2, 4, 62, 2, 8, 0, 0, 0, 1
2, 31, 2, 52, 19, 214, 2, 2, 0, 1
1, 7, 17, 2, 2, 2, 41, 0, 0, 1
2, 18, 7, 8, 4, 2, 2, 0, 0, 1
2, 7, 92, 8, 21, 2, 2, 0, 0, 1
2, 31, 2, 2, 43, 165, 247, 141, 12, 1
2, 2, 2, 2, 2, 2, 34, 50, 0, 1
54, 2, 11, 65, 0, 0, 0, 0, 0, 1
2, 36, 2, 8, 2, 8, 38, 2, 0, 1
2, 174, 2, 2, 205, 2, 2, 89, 0, 1
2, 304, 2, 2, 166, 1, 2, 0, 0, 1
19, 229, 192, 307, 2, 62, 2, 0, 0, 1
2, 174, 123, 24, 8, 87, 2, 0, 0, 1
19, 80, 17, 72, 2, 172, 1, 0, 0, 1
2, 174, 279, 8, 2, 314, 0, 0, 0, 1
26, 36, 2, 17, 8, 67, 17, 1, 0, 1
2, 7, 17, 226, 220, 7, 92, 0, 0, 1
2, 218, 57, 2, 2, 35, 2, 0, 0, 1
165, 7, 2, 2, 92, 2, 2, 0, 0, 1
29, 36, 35, 2, 145, 26, 2, 0, 0, 1
12, 28, 4, 268, 1, 0, 0, 0, 0, 1
2, 2, 6, 2, 2, 2, 2, 0, 0, 1
161, 49, 29, 1, 2, 8, 8, 0, 0, 1
126, 2, 49, 248, 2, 57, 8, 41, 0, 1
2, 2, 320, 258, 2, 17, 2, 70, 0, 1
19, 2, 17, 0, 75, 145, 2, 2, 0, 1
8, 7, 7, 2, 2, 323, 0, 0, 0, 1
19, 174, 2, 57, 2, 8, 2, 2, 8, 1
148, 36, 12, 8, 27, 2, 2, 2, 0, 1
2, 80, 12, 2, 326, 2, 2, 0, 0, 1
2, 2, 19, 2, 134, 0, 0, 0, 0, 1
2, 7, 131, 23, 1, 2, 0, 0, 0, 1
2, 36, 2, 2, 8, 2, 4, 1, 0, 1
2, 18, 68, 111, 129, 314, 0, 0, 0, 1
75, 7, 38, 111, 2, 17, 72, 0, 0, 1
2, 157, 49, 2, 2, 24, 0, 0, 0, 1
72, 36, 237, 61, 2, 23, 2, 0, 0, 1
21, 7, 52, 12, 49, 165, 19, 0, 0, 1
2, 36, 2, 49, 4, 1, 0, 0, 0, 1
60, 28, 4, 2, 2, 36, 100, 0, 0, 1
29, 28, 4, 210, 1, 2, 0, 0, 0, 1
22, 228, 2, 145, 2, 1, 0, 0, 0, 1
2, 7, 8, 316, 2, 77, 24, 0, 0, 1
2, 10, 2, 51, 2, 2, 24, 0, 0, 1
8, 2, 2, 10, 25, 270, 75, 11, 0, 1
2, 13, 4, 35, 26, 2, 2, 0, 0, 1
238, 2, 23, 2, 17, 2, 34, 2, 268, 1
1, 36, 29, 12, 131, 172, 161, 0, 0, 1
100, 36, 131, 2, 16, 2, 1, 0, 0, 1
12, 36, 352, 2, 26, 2, 2, 0, 0, 1
26, 36, 89, 2, 44, 2, 0, 0, 0, 1
2, 36, 75, 2, 2, 6, 26, 0, 0, 1
75, 36, 2, 2, 134, 2, 7, 2, 2, 1
2, 36, 2, 2, 2, 310, 8, 60, 0, 1
75, 7, 38, 145, 2, 2, 0, 0, 0, 1
22, 36, 2, 356, 8, 67, 357, 0, 0, 1
2, 2, 142, 2, 2, 75, 1, 24, 0, 1
2, 33, 2, 16, 1, 0, 0, 0, 0, 1
1, 36, 23, 152, 2, 332, 2, 131, 19, 1
8, 7, 131, 2, 2, 1, 2, 2, 0, 1
26, 36, 2, 62, 2, 2, 2, 0, 0, 1
2, 361, 1, 1, 2, 2, 0, 0, 0, 1
125, 2, 2, 23, 57, 275, 189, 0, 0, 1
234, 36, 8, 23, 2, 8, 167, 2, 0, 1
65, 33, 2, 8, 2, 2, 0, 0, 0, 1
275, 2, 17, 10, 2, 73, 1, 0, 0, 1
26, 36, 2, 44, 2, 0, 2, 2, 2, 1
2, 7, 324, 240, 2, 19, 0, 0, 0, 1
65, 7, 57, 225, 2, 106, 144, 0, 0, 1
2, 36, 2, 1, 49, 6, 16, 0, 0, 1
2, 36, 1, 24, 2, 12, 1, 0, 0, 1
100, 36, 80, 218, 75, 2, 0, 0, 0, 1
2, 7, 225, 2, 2, 2, 0, 12, 0, 1
2, 7, 75, 2, 2, 19, 0, 0, 0, 1
1, 7, 2, 145, 161, 17, 1, 0, 0, 1
