0,1,2,3,4,0,0,0,0,0,0,2
5,6,6,3,7,1,0,0,0,0,0,1
4,1,8,6,9,10,3,0,0,0,0,2
11,12,4,2,12,13,3,1,0,0,0,3
14,15,13,16,17,3,18,0,0,0,0,2
19,9,1,3,12,20,0,0,0,0,0,4
17,17,21,22,9,23,24,1,0,0,0,3
2,25,26,27,1,0,0,0,0,0,0,2
4,28,29,30,31,32,0,0,0,0,0,1
12,13,6,12,12,12,0,0,0,0,0,1
33,34,13,1,3,12,13,1,0,0,0,1
35,36,37,17,38,13,21,0,0,0,0,2
39,17,17,3,40,0,0,0,0,0,0,3
2,12,13,3,41,2,10,3,0,0,0,2
17,2,17,3,3,42,17,0,0,0,0,1
43,5,6,44,45,46,27,47,0,0,0,2
2,1,37,21,48,3,1,0,0,0,0,2
17,12,45,49,1,1,17,0,0,0,0,2
51,2,52,21,53,54,21,0,0,0,0,1
55,6,6,56,13,3,57,1,0,0,0,4
33,58,3,59,60,3,12,0,0,0,0,2
17,61,17,62,63,13,64,44,0,0,0,3
33,65,66,67,13,1,3,6,0,0,0,1
17,33,9,1,3,3,42,17,0,0,0,2
35,1,13,70,57,0,0,0,0,0,0,2
12,36,71,12,72,0,0,0,0,0,0,2
73,13,74,3,1,13,12,0,0,0,0,1
17,75,6,12,13,76,0,0,0,0,0,5
2,42,1,3,77,9,1,12,0,0,0,3
33,78,12,79,17,3,80,0,0,0,0,1
17,17,68,6,13,81,1,0,0,0,0,2
5,82,13,83,1,9,27,84,0,0,0,2
33,85,12,17,12,86,1,0,0,0,0,1
12,87,34,12,62,88,89,44,0,0,0,1
90,88,13,36,17,12,0,0,0,0,0,1
2,85,28,91,33,3,0,0,0,0,0,1
92,93,1,94,95,96,1,0,0,0,0,3
97,64,98,27,1,99,1,0,0,0,0,2
17,100,101,17,49,17,21,102,0,0,0,1
73,73,12,13,17,96,17,0,0,0,0,3
33,33,103,0,0,0,0,0,0,0,0,3
33,33,53,12,17,0,0,0,0,0,0,2
0,104,3,3,13,105,0,0,0,0,0,2
17,5,106,107,3,0,0,0,0,0,0,1
17,98,13,108,1,109,17,9,17,0,0,1
110,2,12,1,0,0,0,0,0,0,0,1
2,2,13,74,111,6,0,0,0,0,0,1
33,33,2,112,1,0,0,0,0,0,0,2
113,1,1,3,114,0,0,0,0,0,0,4
33,12,67,115,15,44,0,0,0,0,0,1
116,12,48,12,34,13,1,3,1,0,0,4
17,105,117,118,33,0,0,0,0,0,0,2
33,2,21,9,52,0,0,0,0,0,0,1
90,3,1,17,119,9,17,1,0,0,0,2
0,120,69,6,121,13,3,1,12,0,0,2
5,5,122,3,123,13,124,0,0,0,0,2
125,41,9,1,126,1,3,0,0,0,0,2
127,128,54,21,13,100,1,17,0,0,0,1
17,130,4,3,17,0,0,0,0,0,0,1
134,116,135,1,136,1,0,0,0,0,0,2
2,1,1,9,52,6,6,0,0,0,0,3
43,5,22,137,9,52,3,0,0,0,0,2
2,1,44,26,138,139,4,0,0,0,0,2
33,33,2,62,17,13,4,3,0,0,0,2
17,17,140,3,17,1,0,0,0,0,0,3
2,3,141,142,12,143,0,0,0,0,0,2
2,21,144,145,12,74,1,0,0,0,0,3
55,146,1,37,46,1,9,10,0,0,0,3
147,148,149,150,151,13,12,0,0,0,0,2
33,2,13,27,152,89,0,0,0,0,0,1
156,12,3,157,158,3,0,0,0,0,0,2
159,12,34,0,0,0,0,0,0,0,0,2
5,13,1,1,3,13,1,1,0,0,0,5
33,33,27,44,6,44,0,0,0,0,0,2
2,17,160,21,3,157,0,0,0,0,0,2
17,17,6,3,9,1,161,162,163,0,0,3
33,164,44,13,27,165,166,9,1,0,0,1
33,167,168,149,6,3,169,0,0,0,0,1
170,17,171,13,42,10,2,17,0,0,0,2
5,5,116,12,98,33,93,0,0,0,0,3
17,172,44,44,173,1,1,0,0,0,0,1
5,12,1,13,1,1,0,0,0,0,0,1
174,175,176,1,2,172,17,177,44,0,0,5
178,4,9,154,1,2,1,0,0,0,0,2
33,3,1,2,1,179,166,0,0,0,0,2
180,65,21,21,181,1,0,0,0,0,0,1
5,5,3,42,3,6,0,0,0,0,0,2
0,1,182,183,184,29,185,166,0,0,0,4
186,187,12,165,3,1,13,141,163,0,0,2
12,62,188,189,190,60,17,0,0,0,0,1
33,191,98,12,17,3,6,0,0,0,0,2
12,29,33,192,26,21,12,165,166,0,0,1
124,44,3,6,84,9,193,0,0,0,0,1
33,194,87,31,195,196,197,0,0,0,0,2
2,12,145,198,199,9,3,41,0,0,0,1
200,9,6,201,202,166,3,0,0,0,0,4
2,64,37,17,2,100,1,12,0,0,0,2
2,12,207,88,208,6,65,2,10,0,0,3
147,21,49,64,209,166,3,17,0,0,0,2
17,53,44,210,1,9,4,109,17,0,0,1
33,167,21,2,13,27,166,0,0,0,0,1
113,12,12,211,34,13,212,0,0,0,0,4
33,215,12,10,216,3,0,0,0,0,0,1
17,2,33,217,218,219,218,220,0,0,0,1
